index,hash,aspect_pos,aspect_pos_string,stance,topic,sentence
39,e582a86c9348952eed6789213f417bd5,"['(182,10)', '(193,21)']","['suppresses', 'freedom of expression']",Argument_against,school uniforms,"Despite their reported benefits , mandatory uniforms are controversial because a lot of parents and students do n’t like the idea of forcing children to dress alike , which they say suppresses freedom of expression ."
40,bdd3e346768b96e013af2e0be5bb7fb7,['no_Aspect'],['no_Aspect'],Argument_against,school uniforms,"If even in Paris , if they had guns on the other side , going in the opposite direction , you would n't have 130 people plus dead ."
41,7d4148f08cadb37060ecb68c11d75c5c,"['(0,15)', '(40,17)', '(120,23)']","['Self-expression', 'child development', 'detrimental to children']",Argument_against,school uniforms,Self-expression is an important part of child development and some experts believe that curbing it with uniforms can be detrimental to children .
42,2115a68cfc0cad1cd69dfad76ca50934,"['(43,12)']",['ugly uniform'],Argument_against,school uniforms,Imagine trying to keep up while wearing an ugly uniform .
43,71e0faeb21048fabcf9b1749d09d09f3,"['(195,7)', '(203,13)']","['address', 'safety issues']",Argument_for,school uniforms,"Although uniforms have been a mainstay of private schools , public schools did n’t jump on the bandwagon until 1994 , when the Long Beach California School District integrated school uniforms to address safety issues challenging the district ."
44,43c294e7eefd5c5f10d369658c3258ca,"['(8,8)']",['teachers'],Argument_against,school uniforms,"Look at teachers , they do n't wear uniforms !"
45,5013f62b77ef8f0d04992b1f3fd88d70,"['(18,9)', '(32,8)']","['decreases', 'pressure']",Argument_for,school uniforms,• School uniforms decreases the pressure of wearing trendier brands .
46,9198ae6100eecd41e37f96cec51b44bd,"['(20,9)', '(32,14)', '(49,21)', '(73,9)', '(147,11)', '(161,9)', '(174,8)']","['expensive', 'time-consuming', 'dangerous for workers', 'hazardous', 'human error', 'accidents', 'sabotage']",Argument_against,nuclear energy,"The process is very expensive , time-consuming , dangerous for workers , hazardous to the natural environment , and presents new opportunities for human error , accidents or sabotage ."
47,cbe7e512486c7e9eea5b98b79398a8b8,"['(54,3)', '(58,6)', '(252,18)']","['set', 'safety', 'probabilistic risk']",Argument_for,nuclear energy,"The government 's Nuclear Regulatory Commission has a set safety goal for every reactor in the country : The chance of an accident that results in radioactivity being released to the environment must be no more than one in a million , as determined by probabilistic risk assessment ."
48,6719bc3fceb59da7324f470f3f74131f,"['(21,18)', '(76,11)', '(91,15)']","['greener technology', 'fall behind', 'become obsolete']",Argument_against,nuclear energy,"In which time , with greener technology always under development , it could fall behind or become obsolete by the time of completion ."
49,70dabf3d894fa482c4bdc092f4e71d44,"['(49,28)', '(132,16)']","['almost entirely replace coal', 'energy-efficient']",Argument_against,nuclear energy,"In contrast , 71 % thought their country "" could almost entirely replace coal and nuclear energy within 20 years by becoming highly energy-efficient and focusing on generating energy from the Sun and wind "" ."
50,d3aa8a46729d29451d6a0846cb598144,"['(41,19)', '(66,20)']","['disfigured monsters', 'severe abnormalities']",Argument_against,cloning,Many attempts at animal cloning produced disfigured monsters with severe abnormalities .
51,274ffe36e6ba1de503ca16bb8797d1c1,"['(66,4)', '(75,11)']","['used', 'evil causes']",Argument_against,cloning,"All knowledge acquired , within research or other arenas , may be used for evil causes in the future - it is impossible to know ."
52,637a75c416dc78990c98f9189629748e,"['(15,7)', '(26,17)']","['crucial', 'develop organisms']",Argument_for,cloning,Stem Cells are crucial to develop organisms .
53,a069c002aa3cddfef142a5f97408f7c2,"['(46,4)', '(54,13)']","['loss', 'individuality']",Argument_for,cloning,"Many people believe that cloning will lead to loss of individuality eventually , but people have their own personality cloned which personality is similar to those in which they were created ."
54,c42752290a806a6e8cee302d212db5db,"['(119,11)']",['job numbers'],Argument_for,minimum wage,"An increase to get closer to an inflation-adjusted minimum wage , Orrenius said , probably would n’t negatively affect job numbers ."
55,de4727c4af07bd22a4cb444e88f7835b,"['(60,10)', '(71,11)', '(102,5)']","['stimulates', 'consumption', 'money']",Argument_for,minimum wage,Supporters of minimum wage also believe that a minimum wage stimulates consumption and thus puts more money into the economy by allowing low paid workers to spend more .
56,116f4e261ec228dba03a1e9351705f4b,"['(91,9)']",['expensive'],Argument_against,minimum wage,The case against raising the minimum wage is straightforward : A higher wage makes it more expensive for firms to hire workers .
57,adf762e0b73b27c2d6632b6827179a41,"['(51,9)', '(109,25)']","['criminals', 'insane and violent people']",Argument_for,gun control,"Restricting guns may not immediately stop hardened criminals from obtaining weapons , but it would help stop insane and violent people from getting them easily ."
58,c6bb5d0c06bbbf529dfd028673591e10,"['(8,8)', '(43,12)', '(60,12)', '(83,6)']","['severely', 'need weapons', 'self-defense', 'blacks']",Argument_against,gun control,"It most severely victimizes those who most need weapons for self-defense , such as blacks and women ."
59,6a75d324e0fbda01c30dbca5cac7ffd9,"['(39,22)', '(90,6)']","['number of guns present', 'higher']",Argument_for,gun control,"As mention in the very beginning , the number of guns present in United States alone , is higher than those present in a number of countries combined ."
60,b3cf565f7494118eb80973a98ac9c5ed,"['(4,8)', '(28,8)', '(37,17)']","['majority', 'supports', 'background checks']",Argument_for,gun control,"The majority of our country supports background checks , and even the majority of gun owners do . "" ]"
61,f964390bcdb4d8e76923893ca74d619f,"['(9,9)', '(48,16)']","['gay women', 'conceive a child']",Argument_for,cloning,"also two gay women could use this technology to conceive a child of their own using their individual 23 chromosomes . """
62,4077300569c9af250be81f3786c49b24,"['(19,17)', '(37,4)']","['tendency to often', 'fail']",Argument_against,cloning,Technology has the tendency to often fail .
63,4ed786f168fdc661df65056a0e50a2e2,"['(18,22)']",['desire to be different'],Argument_against,cloning,The child ’s very desire to be different from her predecessor illustrates that she is not destined to be like her predecessor .
64,dbb2bd5e20a42ba133274cdf551838fb,"['(39,6)']",['embryo'],Argument_for,cloning,"I view this like I view abortion , the embryo is not a person yet , not technically ."
65,2bf8ff0c26d3a23d478e39404c423c57,"['(32,18)', '(51,17)', '(88,9)']","['carcinogenic toxic', 'radioactive waste', 'dangerous']",Argument_against,nuclear energy,"It produces enormous amounts of carcinogenic toxic radioactive waste , some of which is dangerous for thousands of years ."
66,ec1a43d94d907b2aa4e313ab569f690d,"['(57,32)']",['waste recycling and reprocessing'],Argument_for,nuclear energy,"Existing and future nuclear waste can be reduced through waste recycling and reprocessing , similar to Japan and the EU ( at added cost ) ."
67,76d8382a77f3e026ba1b0ecb2e788f55,"['(105,13)', '(142,16)']","['lives in jail', 'harsh punishment']",Argument_against,death penalty,"So when you have people who have done terrible , terrible things they 're gon na spend the rest of their lives in jail , and that 's a pretty harsh punishment ."
68,0e9362ec5d86e59a0379edee1b8bd8bf,"['(15,8)', '(34,6)', '(44,7)']","['dissuade', 'serves', 'purpose']",Argument_against,death penalty,"If it does not dissuade , then it serves no purpose ."
69,b4b31d0164f1285c9aa58f17e00a011c,"['(43,7)']",['Support'],Argument_against,death penalty,Pew Poll Shows Sharp Drop in Death Penalty Support ( 2/2014 ) .
70,b985257d94a848d207bb22ff694fb1ee,"['(4,16)', '(102,8)']","['Second Amendment', 'security']",Argument_against,gun control,"The Second Amendment of the US Constitution reads , "" A well regulated militia being necessary to the security of a free state , the right of the people to keep and bear arms shall not be infringed . """
71,f2c53c824e6ab17680d8435267944827,"['(46,34)']",['multiple-victim shootings declined'],Argument_for,gun control,"When states passed these laws , the number of multiple-victim shootings declined by 84 percent ."
72,067e5b9ad1559c9352cada51d0cc4f7e,"['(0,6)', '(46,4)', '(56,9)']","['Crimes', 'made', 'dangerous']",Argument_for,gun control,Crimes that may have been less harmful can be made more dangerous by adding a gun .
73,b8728240a7d731fe5b04363d40427180,"['(135,26)']",['innocent men were executed'],Argument_against,death penalty,"Watt Espy , an Alabamian who has done intensive research on American executions , says that he has "" every reason to believe "" that 10 innocent men were executed in Alabama alone ."
74,d033166db0bfacd80c9ed70f209de92c,"['(15,15)', '(93,9)', '(111,8)']","['regard for life', 'violation', 'sanctity']",Argument_against,death penalty,The deeper our regard for life the firmer will be our hold upon the penal sanction which the violation of that sanctity merit .
75,8927e3882883b8685272fc5216761917,"['(87,15)', '(285,17)']","['reducing access', 'counterproductive']",Argument_for,abortion,"Unfortunately , and ironically , anti-abortion legislation in multiple states aimed at reducing access by closing abortion clinics with unnecessary restrictions or requiring extra hurdles for women to obtain abortions ( like mandatory delay , ultrasounds , and/or counseling ) , has a counterproductive effect ."
76,362efffa04262b388f40e08589e88e1d,"['(29,19)']",['uranium fuel supply'],Argument_against,nuclear energy,It is said that the world 's uranium fuel supply should last in the region of 90 years ( 15 ) - which is not a huge amount of time ; the oil reserve is said to be around sixty years .
77,b4f5104b73aaa118aa2233004800bcec,"['(35,5)']",['waste'],Argument_against,nuclear energy,thirdly where would we put all the waste from the nuclear power .
78,9b47116bd9e225cc5bd24e9482b4c341,"['(58,27)', '(100,4)']","['superior nuclear technology', 'LFTR']",Argument_for,nuclear energy,"If our ( U.S. ) government were committed to developing a superior nuclear technology , such as the LFTR , it could find ways to make it happen and to be deployed ."
79,d2870e782c8c4c1ab3657abc4758db4a,"['(115,18)']",['right to determine'],Argument_against,cloning,"Thus , when it comes to creating a clone of an existing child , Robertson avers that the first child “ may have no right to determine whether or not she is cloned , ” since the child is not herself “ reproducing directly ” — rather , it is her parents who are reproducing by creating a “ later-born identical twin . ”"
80,b4090f9c893962db7f22105d3fbb440c,"['(54,8)', '(134,11)', '(150,6)']","['feasible', 'effectively', 'safely']",Argument_against,cloning,"In the upshot , human reproductive cloning is not yet feasible , and indeed there ’s no current prospect that it could be carried out effectively and safely in the foreseeable future ."
81,c64809561dbb6b73deaeff5c9fca72de,"['(113,24)', '(219,12)']","['developed the technology', 'healthy baby']",Argument_against,cloning,"That ’s a good pragmatic reason not to make attempts until we know a lot more , and even then we ’d need to have developed the technology to a point where we are about as likely as with ordinary births to end up with a healthy baby ."
82,6a02aacb814a427757249fc5b8a9f32b,"['(34,6)', '(52,20)']","['remedy', 'preventive treatment']",Argument_for,cloning,Therapeutic cloning is not just a remedy but also a preventive treatment .
83,58c4b124096b5352862b34d4a7aabd3d,"['(23,8)']",['solution'],Argument_against,nuclear energy,Nuclear power is not a solution .
84,8f5924bf18b95107d3467532749cc07d,"['(44,13)']",['rapid retreat'],Argument_against,nuclear energy,To do this we need to … make a dramatic and rapid retreat from the use of nuclear power to generate electricity .
85,2a4cd8bd4c3c6b7d6571bf94b8cabb62,"['(75,17)', '(96,5)']","['solve the problem', 'crazy']",Argument_for,nuclear energy,"So for us to say we wo n't use all the tools [ such as nuclear energy ] to solve the problem is crazy . """
86,4f349180eb70522af78056df9eac65c7,"['(142,13)', '(173,15)']","['act of murder', 'God ’s judgment']",Argument_against,abortion,"In writings from the beginnings of Christianity to the Reformation , Christians have stood uniformly against abortion , believing it to be an act of murder and deserving of God ’s judgment ."
87,f325816158457e2c987a8f232d0ecb27,"['(12,13)', '(42,9)']","['motherly love', 'sacrifice']",Argument_for,abortion,It is truly motherly love if she wants to sacrifice her motherhood so that the child will not live this life .
88,b7a5e5036035c3b1935cbdbf19f0c395,"['(46,5)', '(63,20)', '(148,17)']","['money', 'killing their babies', 'kill their babies']",Argument_against,abortion,The truth : The fact that rich women have the money to pay for killing their babies does not in any way justify giving poor women the means to also kill their babies .
89,cc302c2b217e48437b7ee4563474debb,"['(27,4)', '(56,4)', '(64,7)', '(92,18)']","['hard', 'lead', 'suicide', 'unwanted pregnancy']",Argument_for,abortion,Being pregnant can be very hard for some women and even lead to suicide for a woman with an unwanted pregnancy .
90,e0008e522dd1758d67c19632a06d7535,"['(53,23)', '(114,14)', '(145,25)']","['Substantive due process', 'privacy rights', 'right to bodily integrity']",Argument_for,abortion,"The 14th Amendment has given rise to the doctrine of Substantive due process , which is said to guarantee various privacy rights , including the right to bodily integrity ."
91,decde5d13681026abbae3e9067d8a40d,"['(46,14)', '(128,4)', '(141,9)', '(151,16)']","['U.S. to impose', 'want', 'long-term', 'storage of waste']",Argument_against,nuclear energy,"It ’s difficult , if not impossible , for the U.S. to impose its will on the state of Nevada ( or other places ) if they do n’t want to host long-term storage of waste ."
92,2686d8fff44cd5235f9ff4e2477627bc,"['(50,19)', '(95,15)', '(137,6)', '(147,5)', '(164,22)']","['recycling used fuel', 'use that energy', 'amount', 'waste', 'treatment and disposal']",Argument_for,nuclear energy,"Now that the United States has removed the ban on recycling used fuel , it will be possible to use that energy and to greatly reduce the amount of waste that needs treatment and disposal ."
93,6edabcd649509f79b08f93362df6249c,"['(48,21)', '(114,26)', '(157,11)']","['nuclear proliferation', 'nuclear weapon development', 'nuclear war']",Argument_against,nuclear energy,Use of nuclear power by the U.S. will encourage nuclear proliferation by third-world countries and often leads to nuclear weapon development and the risk of nuclear war .
94,06faad4aa6e4e2857ddba65bb5286186,"['(40,27)']",['costs and earlier estimates'],Argument_for,nuclear energy,Experience to date gives a good idea of costs and earlier estimates are being revised downwards .
95,7890d2e878f30cd000cc757e8572f1e1,"['(14,15)', '(69,23)']","['error in dosage', 'conscious but paralyzed']",Argument_against,death penalty,"Even a slight error in dosage or administration can leave a prisoner conscious but paralyzed while dying , a sentient witness of his or her own asphyxiation ."
96,1fbe32a9f64d81eac436ad6df53ac40e,"['(153,4)']",['cost'],Argument_against,death penalty,In 1988 and 1989 the Kansas legislature voted against reinstating the death penalty after it was informed that reintroduction would involve a first-year cost of more than $ 11 million .
97,1660ffefe39861264e4d8dcae7fdc865,"['(23,7)', '(33,30)', '(114,11)']","['erratic', 'racially and regionally biased', 'core values']",Argument_against,death penalty,"I can not reconcile an erratic , racially and regionally biased system of executions with my understanding of the core values of our legal order ."
98,3a3ebb6b7b2f2c98b3927e5e1e03a648,['no_Aspect'],['no_Aspect'],Argument_for,death penalty,"Juries and judges weigh mitigating circumstances against aggravating factors and make the decision for death , based upon those cases wherein the mitigators are overwhelmed by the aggravators ."
99,fb62dfc15d44483c20f6f18f78cd6a79,"['(22,26)']",['incontrovertible arguments'],Argument_against,death penalty,There are a number of incontrovertible arguments against the death penalty .
100,a1c619f0ca89f0dedd13a1e7dc1c86df,"['(31,12)', '(81,25)', '(230,7)', '(333,21)']","['civil rights', '2nd Amendment is obsolete', 'protect', 'military-grade weapon']",Argument_for,gun control,"People are n’t defending their civil rights , because the left tells us that the 2nd Amendment is obsolete , or it says something totally different than what it says , or that people might have a right to a deer rifle or a .38 to protect against a mugger or rapist , but there is no excuse for a citizen to have a law-enforcement or military-grade weapon ."
101,daa4940214ed82367a3a9c3859c1a168,"['(83,12)']",['gun violence'],Argument_for,gun control,"Los Angeles Police Department Chief Charlie Beck said , "" I have seen far too much gun violence in my lifetime to think that more guns is a solution ... a gun is more likely to be used against you than you use a gun in self-defense . """
102,c377c64f09d7e5729675efb91a05d4fd,"['(62,7)']",['reality'],Argument_against,gun control,"You see , only in Washington , in a world so removed from the reality millions of Americans face every day , could such a concept actually be given credulity ."
103,f76cb79daf9cac6e6414f2c71f78f0e3,"['(39,19)', '(87,18)']","['right to cause pain', 'violent psychopath']",Argument_for,gun control,"A lot of people would agree that it is right to cause pain , injury or even death to a violent psychopath who had already killed multiple people & intends on killing more ."
104,c196db922c9019763d5e20dc265030db,"['(146,17)', '(228,17)']","['income inequality', 'income inequality']",Argument_for,minimum wage,"Among the 34 Organisation for Economic Cooperation and Development ( OECD ) member countries , the United States has one of the highest levels of income inequality , with only Chile , Mexico , and Turkey having higher levels of income inequality ."
105,06e81ba899064ceeebe3acc222146e10,"['(62,14)', '(126,3)', '(138,5)']","['less expensive', 'pay', 'taxes']",Argument_for,minimum wage,"You 'll need less from the government , which makes you a lot less expensive to your neighbors than you are now , and you 'll pay more in taxes , which means you 'll put more in than you take out ."
106,7b03f368b5c7094edeeaa9bfd9e49c2d,"['(54,6)', '(64,5)', '(88,7)', '(105,7)']","['likely', 'spend', 'dollars', 'economy']",Argument_for,minimum wage,"When low-income households earn more money , they are likely to spend it , pouring more dollars into the economy , the argument goes ."
107,f02a7168ccb6332b764cd9f9f9c181ec,"['(91,18)']",['school performance'],Argument_for,minimum wage,"The study found that "" recent experimental studies show that increasing income can improve school performance . """
108,d7a544c436bf4e01b77043b680fd4dd5,"['(36,16)']",['lower value wise'],Argument_for,minimum wage,Today minimum wage is actually 11 % lower value wise than it was in 1933 .
109,2fd0e7b3d29b1e6491a4ccf963bf986c,"['(130,7)', '(138,14)', '(157,24)']","['improve', 'overall health', 'reduce health inequities']",Argument_for,minimum wage,"The study concluded that "" policies that reduce poverty and raise the wages of low-income people can be expected to significantly improve overall health and reduce health inequities . """
110,a1f50f43b8a15cf3d77a2594169a64f4,"['(57,18)', '(107,26)']","['transferred income', 'equalized bargaining power']",Argument_for,minimum wage,"They found that a majority signed on the grounds that it transferred income from employers to workers , or equalized bargaining power between them in the labor market ."
111,976317f481d3ce263e99391d544ebb10,"['(45,4)', '(53,12)']","['help', 'saving lives']",Argument_for,gun control,People have always said how banning guns can help in saving lives .
112,98020ad077f375d3687730d3861b6934,"['(78,7)', '(90,15)']","['support', 'concealed carry']",Argument_for,gun control,"A 2013 survey of 15,000 current and retired police officers found that 91.3 % support the concealed carry of guns by civilians ."
113,8c5838249be7082042214fd5b0c8ac84,"['(19,5)', '(25,12)', '(41,15)']","['total', 'confiscation', 'privately owned']",Argument_against,gun control,The end state is a total confiscation of privately owned guns .
114,b238084aa3fa62906f8c8436fba1b44c,"['(86,26)']",['favor of life imprisonment'],Argument_against,death penalty,Gallup 's poll on capital punishment also found that American teenagers are 2-to-1 in favor of life imprisonment with no parole over the death penalty .
115,6eabec267e5ff96ced590ca920001109,"['(9,11)', '(115,10)', '(183,11)']","['moral flaws', 'moral aims', 'retribution']",Argument_against,death penalty,"To these moral flaws , I would add another : the minuscule number of executions nowadays can not achieve the grand moral aims that are presupposed by a serious societal commitment to retribution ."
116,07f99447e5880ece37e58ec9d23612c7,"['(69,19)']",['invasion of privacy'],Argument_against,gun control,Gun control laws such as background checks and micro-stamping are an invasion of privacy .
117,d6f6de64e05c7822dbaface656ccc0de,"['(117,10)', '(199,4)', '(204,5)']","['feel safer', 'felt', 'safer']",Argument_for,gun control,"A Pew Foundation report found that 79 % of male gun owners and 80 % of female gun owners said owning a gun made them feel safer , and 64 % of people living in a home in which someone else owns a gun felt safer ."
118,95fb89ffb7fb3128e791263640faf8fc,"['(12,10)', '(102,8)']","['majorities', 'training']",Argument_for,gun control,"Significant majorities would like to see the assault weapons ban reinstated , mandatory licensing and training for all gun owners , significant waiting periods for purchases , and host of other restrictions ( there are more details here ) ."
119,bf4d848b36ad7dd353d8031e5905db3c,"['(66,20)', '(87,14)']","[""citizens do n't need"", 'assault rifles']",Argument_against,gun control,"Another part i would like to refute would be the statement that "" citizens do n't need assault rifles . """
120,5f1e4a7024d7fb106ce4c7f860ef9088,"['(36,15)', '(82,21)']","['right to pursue', 'medical-investigation']",Argument_for,cloning,"In a free society , people have the right to pursue any scientific-and especially medical-investigation ."
121,7f39adcaaff772270035200bd9f2e0fe,"['(24,13)', '(40,15)', '(62,17)', '(116,16)']","['reprogramming', 'differentiation', 'dedifferentiation', 'medical miracles']",Argument_for,cloning,"Learning the process of reprogramming , differentiation , and dedifferentiation is likely to result in just as many medical miracles as stem cell research ."
